year,sourceId,targetId,id,type,citationcount,count
1998,p0227,p0833,573696e46e3b12023e5e31c3,Co-co-author,13,1
1998,p0227,p1143,573696e46e3b12023e5e31c3,Co-co-author,13,1
1998,p0227,p1830,573696e46e3b12023e5e31c3,Co-co-author,13,1
1998,p0227,p2350,573696e46e3b12023e5e31c3,Co-co-author,13,1
1998,p0227,p2770,53e99a2ab7602d9702282405,Co-co-author,220,1
1998,p0340,p0227,53e99d4cb7602d9702604f42,Co-co-author,67,1
1998,p0340,p0227,573696e46e3b12023e5e2ddb,Co-co-author,31,1
1998,p0340,p0514,573696e46e3b12023e5e2ddb,Co-co-author,31,1
1998,p0340,p1236,573696e46e3b12023e5e2ddb,Co-co-author,31,1
1998,p0340,p1322,573696e46e3b12023e5e2ddb,Co-co-author,31,1
1998,p0340,p2207,573696e46e3b12023e5e2ddb,Co-co-author,31,1
1998,p0611,p0227,573696e56e3b12023e5e3b52,Co-co-author,10,1
1998,p0611,p1216,573696e56e3b12023e5e3b52,Co-co-author,10,1
1998,p0611,p1601,573696e56e3b12023e5e3b52,Co-co-author,10,1
1998,p0611,p3017,573696e56e3b12023e5e3b52,Co-co-author,10,1
1998,p0736,p0227,53e9ac05b7602d97035c3529,Co-co-author,6,1
1998,p0736,p0227,573696e36e3b12023e5e1ddb,Co-co-author,3,1
1998,p1236,p0227,53e9a9e6b7602d9703348989,Co-co-author,35,1
1998,p1236,p0340,53e9a9e6b7602d9703348989,Co-co-author,35,1
1998,p2358,p1533,53e9a75fb7602d9703097243,Co-co-author,2,1
1999,p0148,p0227,53e998b8b7602d97020f4604,Co-co-author,110,1
1999,p0148,p0340,53e998b8b7602d97020f4604,Co-co-author,110,1
1999,p0148,p0395,53e998b8b7602d97020f4604,Co-co-author,110,1
1999,p0221,p0227,573696e36e3b12023e5e2b10,Co-co-author,27,1
1999,p0221,p0472,573696e36e3b12023e5e2b10,Co-co-author,27,1
1999,p0221,p1026,573696e36e3b12023e5e2b10,Co-co-author,27,1
1999,p0221,p1315,573696e36e3b12023e5e2b10,Co-co-author,27,1
1999,p0221,p1347,573696e36e3b12023e5e2b10,Co-co-author,27,1
1999,p0221,p1720,573696e36e3b12023e5e2b10,Co-co-author,27,1
1999,p0340,p0153,53e9bda5b7602d9704a51397,Co-co-author,96,1
1999,p0340,p0227,53e9ae4eb7602d970386926f,Co-co-author,163,1
1999,p0340,p0227,53e9bda5b7602d9704a51397,Co-co-author,96,1
1999,p0340,p0863,53e9bda5b7602d9704a51397,Co-co-author,96,1
1999,p0340,p1499,53e9ae4eb7602d970386926f,Co-co-author,163,1
1999,p0340,p2225,53e9bda5b7602d9704a51397,Co-co-author,96,1
1999,p0340,p2683,53e9ae4eb7602d970386926f,Co-co-author,163,1
1999,p0962,p1533,53e9adaab7602d97037a6f8c,Co-co-author,279,1
1999,p0962,p1591,53e9adaab7602d97037a6f8c,Co-co-author,279,1
1999,p1111,p0558,53e9b45eb7602d9703f5cf3f,Co-co-author,7,1
1999,p1111,p2578,53e9b45eb7602d9703f5cf3f,Co-co-author,7,1
1999,p1111,p2606,53e9b45eb7602d9703f5cf3f,Co-co-author,7,1
1999,p1111,p2757,53e9b45eb7602d9703f5cf3f,Co-co-author,7,1
1999,p1185,p0227,573696e36e3b12023e5e2c20,Co-co-author,0,1
1999,p1185,p0342,573696e36e3b12023e5e2c20,Co-co-author,0,1
1999,p1185,p0499,573696e36e3b12023e5e2c20,Co-co-author,0,1
1999,p1185,p0554,573696e36e3b12023e5e2c20,Co-co-author,0,1
1999,p1185,p1853,573696e36e3b12023e5e2c20,Co-co-author,0,1
1999,p1186,p0227,53e9ac2eb7602d97035f195f,Co-co-author,3,1
1999,p1186,p0227,53e9ae0cb7602d970381a298,Co-co-author,10,1
1999,p1186,p0342,53e9ae0cb7602d970381a298,Co-co-author,10,1
1999,p1186,p0500,53e9ae0cb7602d970381a298,Co-co-author,10,1
1999,p1186,p0567,53e9ae0cb7602d970381a298,Co-co-author,10,1
1999,p1186,p1853,53e9ae0cb7602d970381a298,Co-co-author,10,1
1999,p1192,p0204,573696e46e3b12023e5e3244,Co-co-author,1,1
1999,p1192,p0216,573696e46e3b12023e5e3244,Co-co-author,1,1
1999,p1192,p0227,573696e46e3b12023e5e3244,Co-co-author,1,1
1999,p1192,p0706,573696e46e3b12023e5e3244,Co-co-author,1,1
1999,p1533,p0244,53e9b2c6b7602d9703d6dd36,Co-co-author,1,1
1999,p1533,p0438,53e9b2c6b7602d9703d6dd36,Co-co-author,1,1
1999,p1533,p0844,53e998f0b7602d970212ddd5,Co-co-author,2,1
1999,p1533,p1339,53e9b2c6b7602d9703d6dd36,Co-co-author,1,1
1999,p1533,p1882,53e9b2c6b7602d9703d6dd36,Co-co-author,1,1
1999,p1533,p2095,53e9b2c6b7602d9703d6dd36,Co-co-author,1,1
1999,p1533,p2510,53e9b2c6b7602d9703d6dd36,Co-co-author,1,1
1999,p1898,p0178,53e9b808b7602d97043beeb0,Co-co-author,30,1
1999,p1898,p1063,53e9b808b7602d97043beeb0,Co-co-author,30,1
1999,p2501,p0227,53e9bd17b7602d970499f6c6,Co-co-author,48,1
1999,p2501,p0340,53e9bd17b7602d970499f6c6,Co-co-author,48,1
1999,p2501,p0686,53e9bd17b7602d970499f6c6,Co-co-author,48,1
1999,p2501,p0868,53e9bd17b7602d970499f6c6,Co-co-author,48,1
1999,p2501,p1610,53e9bd17b7602d970499f6c6,Co-co-author,48,1
1999,p2501,p2520,53e9bd17b7602d970499f6c6,Co-co-author,48,1
1999,p2578,p0815,558a98ade4b031bae1f88e78,Co-co-author,51,1
1999,p2578,p0878,558a98ade4b031bae1f88e78,Co-co-author,51,1
1999,p3052,p0227,53e9a7ffb7602d9703143460,Co-co-author,125,1
1999,p3052,p2756,53e9a7ffb7602d9703143460,Co-co-author,125,1
2000,p0153,p0227,573696e56e3b12023e5e42b8,Co-co-author,6,1
